iter	Passed	Remaining
552	7968	6440
553	7981	6425
554	7995	6410
555	8009	6396
556	8023	6381
557	8038	6367
558	8053	6353
559	8066	6338
560	8080	6323
561	8093	6307
562	8107	6292
563	8121	6277
564	8134	6262
565	8148	6247
566	8161	6232
567	8174	6217
568	8188	6202
569	8202	6187
570	8217	6173
571	8231	6159
572	8245	6144
573	8260	6130
574	8275	6116
575	8288	6101
576	8303	6087
577	8318	6073
578	8331	6057
579	8345	6043
580	8359	6028
581	8372	6013
582	8385	5997
583	8398	5982
584	8412	5967
585	8426	5953
586	8439	5938
587	8453	5923
588	8470	5910
589	8483	5895
590	8498	5881
591	8511	5866
592	8525	5851
593	8539	5836
594	8552	5821
595	8566	5807
596	8581	5792
597	8596	5778
598	8609	5763
599	8623	5749
600	8638	5734
601	8652	5720
602	8665	5705
603	8680	5691
604	8694	5676
605	8708	5662
606	8722	5647
607	8735	5631
608	8750	5618
609	8764	5603
610	8778	5589
611	8792	5574
612	8805	5558
613	8819	5544
614	8834	5530
615	8847	5515
616	8862	5501
617	8875	5486
618	8889	5471
619	8910	5461
620	8924	5446
621	8937	5431
622	8952	5417
623	8965	5402
624	8978	5387
625	8992	5372
626	9005	5357
627	9018	5342
628	9031	5327
629	9044	5311
630	9057	5296
631	9070	5281
632	9084	5266
633	9098	5252
634	9114	5238
635	9129	5224
636	9142	5210
637	9158	5196
638	9172	5181
639	9186	5167
640	9199	5152
641	9213	5137
642	9225	5122
643	9239	5107
644	9253	5092
645	9267	5078
646	9281	5063
647	9295	5049
648	9309	5034
649	9323	5020
650	9338	5006
651	9352	4991
652	9365	4976
653	9380	4962
654	9394	4948
655	9406	4932
656	9422	4919
657	9436	4904
658	9449	4889
659	9462	4874
660	9475	4859
661	9489	4845
662	9503	4830
663	9517	4815
664	9531	4801
665	9546	4787
666	9561	4773
667	9577	4759
668	9593	4746
669	9607	4731
670	9620	4717
671	9634	4702
672	9646	4687
673	9659	4672
674	9673	4657
675	9689	4644
676	9704	4629
677	9718	4615
678	9733	4601
679	9750	4588
680	9764	4574
681	9780	4560
682	9794	4546
683	9811	4532
684	9826	4518
685	9840	4504
686	9855	4490
687	9871	4476
688	9888	4463
689	9905	4450
690	9921	4436
691	9937	4422
692	9952	4409
693	9969	4395
694	9984	4381
695	9999	4367
696	10016	4354
697	10032	4340
698	10047	4326
699	10062	4312
700	10076	4297
701	10091	4283
702	10106	4269
703	10121	4255
704	10135	4241
705	10148	4226
706	10163	4212
707	10184	4200
708	10198	4186
709	10213	4171
710	10227	4157
711	10240	4142
712	10254	4127
713	10267	4112
714	10281	4098
715	10295	4083
716	10309	4069
717	10323	4054
718	10337	4040
719	10351	4025
720	10366	4011
721	10381	3997
722	10396	3983
723	10410	3968
724	10425	3954
725	10439	3939
726	10452	3925
727	10466	3910
728	10479	3895
729	10493	3880
730	10506	3866
731	10520	3851
732	10535	3837
733	10548	3822
734	10561	3807
735	10577	3794
736	10593	3780
737	10610	3766
738	10624	3752
739	10638	3737
740	10653	3723
741	10667	3709
742	10680	3694
743	10694	3679
744	10708	3665
745	10722	3650
746	10736	3636
747	10749	3621
748	10762	3606
749	10776	3592
750	10791	3577
751	10805	3563
752	10820	3549
753	10835	3535
754	10849	3520
755	10863	3506
756	10877	3491
757	10890	3477
758	10904	3462
759	10918	3447
760	10932	3433
761	10948	3419
762	10961	3404
763	10975	3390
764	10989	3375
765	11002	3361
766	11016	3346
767	11032	3332
768	11047	3318
769	11061	3303
770	11075	3289
771	11088	3274
772	11102	3260
773	11115	3245
774	11130	3231
775	11145	3217
776	11158	3202
777	11172	3188
778	11185	3173
779	11199	3158
780	11213	3144
781	11228	3130
782	11244	3116
783	11257	3101
784	11271	3087
785	11284	3072
786	11296	3057
787	11310	3042
788	11324	3028
789	11338	3013
790	11351	2999
791	11363	2984
792	11376	2969
793	11390	2955
794	11404	2940
795	11420	2926
796	11433	2912
797	11451	2898
798	11469	2885
799	11482	2870
800	11495	2856
801	11509	2841
802	11524	2827
803	11537	2812
804	11552	2798
805	11566	2784
806	11581	2769
807	11596	2755
808	11610	2741
809	11624	2726
810	11639	2712
811	11653	2698
812	11668	2683
813	11682	2669
814	11696	2654
815	11709	2640
816	11724	2626
817	11737	2611
818	11751	2597
819	11764	2582
820	11779	2568
821	11793	2553
822	11806	2539
823	11819	2524
824	11833	2510
825	11846	2495
826	11860	2481
827	11875	2466
828	11888	2452
829	11903	2438
830	11917	2423
831	11931	2409
832	11943	2394
833	11957	2379
834	11970	2365
835	11983	2350
836	11997	2336
837	12010	2321
838	12024	2307
839	12037	2292
840	12050	2278
841	12065	2264
842	12084	2250
843	12102	2236
844	12117	2222
845	12133	2208
846	12148	2194
847	12162	2180
848	12178	2166
849	12192	2151
850	12208	2137
851	12225	2123
852	12240	2109
853	12256	2095
854	12270	2080
855	12286	2066
856	12302	2052
857	12316	2038
858	12331	2024
859	12345	2009
860	12358	1995
861	12372	1980
862	12384	1966
863	12398	1951
864	12410	1936
865	12424	1922
866	12438	1908
867	12453	1893
868	12466	1879
869	12482	1865
870	12499	1851
871	12514	1837
872	12528	1822
873	12542	1808
874	12555	1793
875	12569	1779
876	12585	1765
877	12599	1750
878	12613	1736
879	12626	1721
880	12639	1707
881	12652	1692
882	12665	1678
883	12680	1663
884	12695	1649
885	12717	1636
886	12731	1621
887	12747	1607
888	12762	1593
889	12777	1579
890	12790	1564
891	12805	1550
892	12817	1535
893	12831	1521
894	12844	1506
895	12857	1492
896	12871	1477
897	12885	1463
898	12899	1449
899	12917	1435
900	12931	1420
901	12945	1406
902	12958	1392
903	12973	1377
904	12986	1363
905	13001	1348
906	13014	1334
907	13028	1320
908	13042	1305
909	13055	1291
910	13069	1276
911	13081	1262
912	13095	1247
913	13109	1233
914	13124	1219
915	13140	1205
916	13154	1190
917	13168	1176
918	13182	1161
919	13196	1147
920	13210	1133
921	13224	1118
922	13237	1104
923	13251	1089
924	13264	1075
925	13278	1061
926	13291	1046
927	13306	1032
928	13320	1018
929	13333	1003
930	13347	989
931	13362	974
932	13376	960
933	13390	946
934	13404	931
935	13418	917
936	13432	903
937	13444	888
938	13458	874
